,name,price,qty,category
11180,삼립미각_이즈니버터식빵,2600,100,snack
11181,롯데_꼬마꿀호떡,1200,100,snack
11182,삼립_딸기치즈케익,4800,100,snack
11183,삼립_딸기티라미수,3300,100,snack
11184,PLA_쫀득한마카롱녹차,3300,100,snack
11185,오리온_몽키나나젤리,1200,100,snack
11186,미성_스포츠볼젤리,52000,100,snack
11187,예스_트롤리초코바나나,3500,100,snack
11188,로투_록키마운틴마시멜로,3000,100,snack
11189,빙그레_쿨젤리레몬민트,1500,100,snack
11190,삼립_달콤생도나스,1000,100,snack
11191,조이_녹차청크로얄쿠키,1500,100,snack
11192,조이_초코청크로얄쿠키,1500,100,snack
11193,피오레_청포도타르트,3300,100,snack
11194,참조은_쫀득롤카페오레,3300,100,snack
11195,오리온_카스타드12입,4800,100,snack
11196,해태_에이스뉴욕치즈케익,1500,100,snack
11197,해태_생생감자칩레인보우,1500,100,snack
11198,삼립_오븐에구운호두파이,1200,100,snack
11199,삼립_딸기잼맘모스,2500,100,snack
11200,삼립_촉촉초코수플레4입,3200,100,snack
11201,푸드_다이제건포도비스킷,800,100,snack
11202,푸드_다이제통밀비스킷,800,100,snack
11203,농심_포테토칩엣지통감자,1500,100,snack
11204,일신_딸기밀크볼,1500,100,snack
11205,삼경_락캔디4가지맛,1800,100,snack
11206,오리온_닥터유단백질볼,1500,100,snack
11207,삼립미각_폭신딸기케익,1500,100,snack
11208,삼립미각_딸기카스테라롤,2200,100,snack
11209,신라_촉촉바삭브루키8입,7900,100,snack
11210,삼립_촉촉치즈수플레4입,3200,100,snack
11211,삼립_허쉬초코쁘띠샌드,2900,100,snack
11212,웅진_초록매실젤리,1200,100,snack
11213,웅진_아침햇살젤리,1200,100,snack
11214,크라운_마이쮸4입케이스,3200,100,snack
11215,롯데_파베초코케이크,3500,100,snack
11216,조이_쫀득한마카롱초코5입,6200,100,snack
11217,삼경_크나버캐쉬,1700,100,snack
11218,동화_꿀미니약과525g,3500,100,snack
11219,롯데_카스타드딸기10입,6000,100,snack
11220,롯데_몽쉘베리딜리12입,6000,100,snack
11221,삼립_허니시몬컵케익6입,3000,100,snack
11222,롯데_미니모카크림샌드5입,1800,100,snack
11223,롯데_미니딸기크림샌드5입,1800,100,snack
11224,롯데_미니땅콩크림샌드5입,1800,100,snack
11225,미성_신비아파트드로잉북,3500,100,snack
11226,미성_시크릿쥬쥬비밀편지,3500,100,snack
11227,예스_트롤리요후르츠,3000,100,snack
11228,서주_흑임자떡모양젤리,1500,100,snack
11229,서주_쑥떡모양젤리,1500,100,snack
11230,롯데_오잉불짬뽕맛70g,1500,100,snack
11231,신라_스위트갈릭파이14입,6500,100,snack
11232,푸드_발사믹블랙포카챠,2500,100,snack
11233,푸드_발사믹올리브포카챠,2500,100,snack
11234,롯데_초에너지바40g,1200,100,snack
11235,오리온_촉촉한초코칩16입,4800,100,snack
11236,롯데_치토스초코츄러스맛,1500,100,snack
11237,미성_허쉬밀크덧,2800,100,snack
11238,롯데_허쉬너겟요거트,1500,100,snack
11239,롯데_허쉬너겟스트로베리,1500,100,snack
11240,해태_티피크리스피,1200,100,snack
11241,해태_티피오리지날,1200,100,snack
11242,PLA_쫀득한마카롱초코,3300,100,snack
11243,PLA_쫀득한마카롱딸기,3300,100,snack
11244,PLA_쫀득한마카롱3입,3300,100,snack
11245,유라가_흑임자찰떡꼬치,2800,100,snack
11246,동서_그래놀라현미310g,6900,100,snack
11247,동서_그래놀라크랜베리350,6900,100,snack
11248,오리온_찰초코파이앙크림,5000,100,snack
11249,동서_오레오웨하스화이트,2500,100,snack
11250,동서_오레오웨하스초코,2500,100,snack
11251,엠탑_서울우유바나나젤리,1500,100,snack
11252,엠탑_서울우유딸기젤리,1500,100,snack
11253,롯데_ABC초코쿠키핑크베리,1000,100,snack
11254,롯데_초코소보로패스츄리,1300,100,snack
11255,롯데_슈크림패스츄리,1300,100,snack
11256,피오레_플레인치즈타르트,3500,100,snack
11257,삼립_크래프트휘낭시에,1200,100,snack
11258,삼립_끼리치즈카스테라,3500,100,snack
11259,롯데_칙촉브라우니컵,3300,100,snack
